測試編號        測試項目          測試步驟                                      預期測試結果 
TC001          登入成功          輸入正確的帳號密碼並登入                      登入成功並進入網頁首頁
TC002          帳號為空          輸入空的帳號和正確的密碼並登入                顯示Username is required
TC003          密碼為空          輸入正確的帳號和空的密碼並登入                顯示Password is required
TC004          帳號和密碼為空    輸入空的帳號和空的密碼                        顯示Username is required

TC005          帳號錯誤          輸入錯誤的帳號並登入                         顯示Username and password do not match any user in this service
TC006          密碼錯誤          輸入錯誤的密碼並登入                         顯示Username and password do not match any user in this service
TC007          輸入過長帳密      輸入過長帳密並登入                           顯示Username and password do not match any user in this service
TC008          SQL Injection    在帳號欄位輸入' OR 1=1 --並登入              顯示Username and password do not match any user in this service
TC009          JS  Injection    在帳號欄位輸入<script>alert(1)</script>      顯示Username and password do not match any user in this service
